question,label,answer,,,,,
赫鲁晓夫改革,意义,最初农业形势有所好转；打开了苏联社会主义改革的闸门，具有探索性和开创性,,,,,
赫鲁晓夫改革到戈尔巴乔夫改革,原因,①改革的必要性斯大林模式的弊端日益显现，严重阻碍苏联社会的进一步发展②改革的可能性1953年斯大林去世，赫鲁晓夫上台，出现改革契机,,,,,
赫鲁晓夫改革时间,内容,1953-1964,,,,,
后现代主义,内容,①法国贝克特荒诞军《等待戈多》②美国海勒的《第二十二条军规》等；,,,,,
后现代主义的代表,内容,①法国贝克特荒诞军《等待戈多》②美国海勒的《第二十二条军规》等；,,,,,
后现代主义风格,内容,一系列反传统的文学流派，包括荒诞派戏剧、愤怒亲年、垮掉的一代、黑色幽默等，塑造为社会主义斗争的无产阶级革命者和建设者形象,,,,,
后现代主义相关背景,背景,①二战后冷战②第三次科技革命，俄国无产阶级革命和苏联社会主义建设,,,,,
胡佛的经济政策有何特点,内容,胡佛的经济政策始终带有自由放任的传统经济学理论的特点。他否认危机的严重性，确信市场调节的功能，坚守自由放任政策。他宣称“美国的经济是建立在稳固和繁荣的基础上的。”认为没有必要进行改革和调整。尽管他也采取了局部的反危机措施，但仍然是在自由放任原则下推行的。他的反危机措施的核心是坚持推行自愿联合政策，最重要的措施是成立复兴金融公司，并通过紧急救济法与工程建设法使复兴金融公司的借贷能力增加到33亿美元，职能扩大到有权借贷给各州救济失业的机构和自负盈亏的公共工程，试图以此来挽救银行、铁路、建筑与贷款公司及其它金融机构。但他却坚持“在政府参与下，私人和公共团体合作”，所以要求工商界和劳工组织自愿联合起来，共同维持生产和投资，他说“经济不景气的问题绝不是用立法的行动或行政的声明来解决的。经济创伤只能由经济实体的细胞——生产者和消费者——来自我治疗的。这两方面的合作可以加速复元的过程并且减少不利的副作用。”1932年11月，他在竞选演说中列举的21项反危机措施也仍然号召地方政府和私人公司与联邦政府共同联合，始终坚持“我们要通过严格减少政府开支和增加税收，直到我们达到预算平衡为止，以使美国政府的信用坚不可摧”。因此，他实行的依然是通货紧缩政策，反对联邦政府大规模救济。结果到1932年底，复兴金融公司只贷出3000万美元的救济款。胡佛采取的这些措施虽然已不是原来严格意义上的传统自由放任政策，对于减轻危机恶果也的确起过一定作用，但是他依然是把自由竞争、自由调节、自由放任放在高于一切的地位，并未摆脱自由放任的旧模式。所以，这些措施如杯水车薪无济于事。,,,,,
胡适认为：“文明不是笼统造成的，是一点一滴的造成的。进化不是一个晚上笼统进化的，是一点一滴的进化的。”你怎么评价胡适的这种思想,内容,生物进化有渐进和突变两种，用于解释社会发展就是改良和革命。胡适主张渐进、改良，有合理的一面，有许多社会问题不是通过革命就能得到解决。比如现在中国的改革开放就使中国在物质文明和精神文明取得巨大进步；但是另一方面，胡适所处的时代正是北洋军阀统治时期，其社会性质是半殖民地半封建社会，此时的各种社会问题只有通过革命来解决，他的这种改良主义思想是不可取的。,,,,,
互联网技术在方便民众生活的同时，也造成了对互联网的过分依赖，谈谈你对这方面的感想。,内容,互联网确实方便了生活，通过网络，可以及时了解想要知道的资讯，查找想要知道的资料，方便了与朋友之间的交流。另一方面，互联网技术也的确造成了对网络的过分依赖，不愿意走出家门，缺乏社会沟通和人际交流，将网络世界当作现实生活，脱离时代，与他人没有共同语言，从而出现孤独不安、情绪低落、思维迟钝、自我评价降低等症状。,,,,,
互联网时代的到来,意义,信息经济在世界各地全面发展，加快了经济全球化的步伐。在互联网时代，人们可以在家里完成很多工作，提高了工作效率，增加了乐趣。互联网可以提供文件传输、电子邮箱、聊天等服务，在社会各个领域发挥了巨大的作用，信息化社会开始出现。,,,,,
互联网时代的到来有哪些作用,意义,信息经济在世界各地全面发展，加快了经济全球化的步伐。在互联网时代，人们可以在家里完成很多工作，提高了工作效率，增加了乐趣。互联网可以提供文件传输、电子邮箱、聊天等服务，在社会各个领域发挥了巨大的作用，信息化社会开始出现。,,,,,
互联网在我国的逐渐普及,背景,①1993年第一条互联网专线正式开通②2008年网民人数居世界第一，普及率超过全球平均水平，农村增速快,,,,,
互联网在我国的逐渐普及,内容,①起步最晚，发展最快，日益深入社会生活各个领域②集合报纸广播电视的优点于一体，具有很强的表现力和感染力，费用低廉③高度互动，双向传受④可以更主动、更快捷和最大限度地获取信息,,,,,
互联网在我国的逐渐普及,意义,①政府职能部门网络化，为普通民众提供更便捷服务②构筑新型家庭经济生活，可以通过网络从事多种经济活动，催生当代中国经济生活的新观念新模式③电子邮件等成为民众生活的重要组成部分，改变着人们工作、学习、生活与交往方式④消极作用存在着信任度与安全感较低，网络沉迷情况等负面影响,,,,,
皇帝制度,意义,皇帝有天下独尊的地位，集行政权、司法权和军事指挥权于一身。国家的法律、政策，都决定于皇帝一人的意志,,,,,
皇帝制度,意义,皇帝制度的建立使君主主宰国家政治而没有任何力量可以对他有所制约成为中国古代的政治定律，在这样的政治体制下，具有独断性和随意性的君主理念，往往影响着政治决策，影响着立法、行政和司法。国家是一个人的国家，政治是一个人的政治。,,,,,
皇权与相权的矛盾加剧,内容,下令裁撤中书省，废除丞相，由皇帝亲自掌管六部，直接管理政事。并且规定此后各代不得再立丞相,,,,,
皇权与相权的矛盾加剧，为解决这一矛盾当时的皇帝对中央行政部门作了哪些改革？,内容,下令裁撤中书省，废除丞相，由皇帝亲自掌管六部，直接管理政事。并且规定此后各代不得再立丞相。,,,,,
黄海海战与反割台斗争,内容,"黄海海战是中日甲午战争中双方海军的一次决战。
黄海海战后，北洋水师主力尚存，北洋大臣李鸿章命令舰队躲进威海卫军港，避战保船。日军从海陆两路围攻威海卫，北洋舰队最终全军覆没。1895年，清政府因甲午战败，被迫与日本签订《马关条约》，割台湾及澎湖列岛给日本。《马关条约》签订的消息传来，全国人民坚决反对割地议和，怒斥清政府投降卖国。台湾人民鸣锣罢市，发布檄文，愿人人战死而失台，绝不愿拱手而让台。",,,,,
黄金时代的公民民主,内容,"公元前500年至公元前449年，希腊城邦与波斯帝国之间爆发战争。
雅典民主政治在希波战争期间取得新的进展。雇工贫农踊跃参战，其政治地位也随之大大提高，由平民和工商业者组成的民主派一直十分活跃。
伯里克利时代的雅典民主政治主要表现在除十将军以外，各级官职向所有公民开放，并都以抽签方式产生；民主政治的主要机构公民大会""、五百人会议和由民众组成的陪审法庭""拥有最充分的权力，公民大会成为事实上的国家最高权力机构，每个公民在会上都有发言权和表决权；五百人会议的每个成员都有机会担当公民大会的轮值主席，执掌国家最高权力；为保证所有公民，尤其是低等级公民能积极参加国家政治事务，国家为担任公职和参加政治活动的公民发放津贴。由此，贵族的政治权力被大大削弱了。
",,,,,
黄宗羲,主张,"①批判君主专制。为天下之大害者，君而已矣。②提出君主平等的思想。③提出限制君权主张以天下之法取代一家之法；
以学校为决定是非的最高机构。④认为工商皆本。",,,,,
黄宗羲对君主专制的抨击,主张,明亡后，投入抗清斗争；抗清失败后，致力于著书讲学。黄宗羲从明亡的历史看到了封建专制制度的腐朽，对君主专制制度进行猛烈抨击，尖锐地揭露君主专制是天下之大害。黄宗羲提出天下为主，君为客的民主思想。他说天下之治乱，不在一姓之兴亡，而在万民之忧乐，主张以天下之法取代皇帝的一家之法，从而限制君权，保证人民的基本权利。黄宗羲的政治主张抨击了封建君主专制制度，有极其重要的意义，对以后反专制斗争起了积极的推动作用。,,,,,
活跃的多边外交,内容,"2000年9月，中国国家主席江泽民出席在美国纽约举行的联合国千年首脑会议。江泽民在大会上阐述了中国关于促进人类和平与发展、国际关系民主化、加强联合国作用、维护《联合国宪章》的宗旨和原则的立场。
应中国要求，会晤文件中加入了五个常任理事国承诺捍卫《联合国宪章》的宗旨和原则、维护安理会权威和加强联合国作用等重要内容。中国在国际事务中发挥着越来越大的建设性作用。",,,,,
活字印刷术,背景,隋唐之际，中国出现了雕版印刷术。宋代是雕版印刷的黄金时代，人们已经使用了彩色套印技术，宋刻本被后世藏书家视为珍品。11世纪中叶，北宋平民毕升发明了胶泥活字印刷术。,,,,,
火药,意义,（用于采矿等，发展生产；制造烟火，丰富生活）将人类带入热兵器时代，为资产阶级打败骑士阶层创造了条件。,,,,,
火药,背景,东晋,,,,,
火药,背景,中国古代炼丹家在炼制丹药时发明了火药。唐末，火药开始用于军事。最早的火药武器有突火枪、火箭、火炮等。宋朝为了抵御辽、西夏和金的进攻，军事上广泛使用火药。,,,,,
火药出现及传播,背景,"①东晋葛洪的《抱朴子仙药》中已提到火药②火药箭（唐末宋初）火炮火箭火球（北宋唐福）等,开始应用于军事。明朝创造地雷、水雷和定时炸弹③传播12.13c传入阿拉伯在传入欧洲
",,,,,
火药发明,背景,①与古人炼丹制药的长期实践有关②东晋葛洪《抱朴子》提到火药（唐代有现今最早的火药配方记载）③唐末至送出开始使用火药箭，火药武器产生④明朝发明自动地雷、水雷和定时炸弹,,,,,
火药外传,背景,12、13世纪传到阿拉伯，后传到欧洲,,,,,
霍布斯,意义,对推翻君权神授理论、摧毁封建专制制度产生深远影响,,,,,
霍布斯,主张,提倡自然权利和社会契约理论,,,,,
机器轰鸣声里的抗争与思索,内容,19世纪三四十年代，欧洲发生了三次大规模的工人运动，即1831年和1834年法国里昂工人起义、1836年开始的英国宪章运动和1844年德意志西里西亚纺织工人起义。这三次工人运动虽然失败了，但是它打击了资产阶级，显示了无产阶级的伟大力量，从而为马克思主义理论提供了阶级和实践基础。同时它也证明，无产阶级反对资产阶级的斗争只有用科学的革命理论做指导，才能取得胜利。,,,,,
计算机的发展,背景,1946年，美国研制出世界第一台大型电子计算机。20世纪70年代中国开始了计算机研制工作。1983年，中国成功研制出第一台每秒运算速度上亿次的计算机，定名为银河一I号。此后，越来越先进的银河系列计算机在十几年间先后问世，表明中国的高性能巨型计算机研制技术已经居于世界前列，加速了国家信息化发展。,,,,,
计算机技术,背景,1946年，美国研制出世界第一台大型电子计算机。20世纪70年代中国开始了计算机研制工作。1983年，中国成功研制出第一台每秒运算速度上亿次的计算机，定名为银河一I号。,,,,,
既然1832年已经进行了国会改革，为什么工人还要进行宪章运动你知道这次运动的最终结果吗据此谈一下你对英国民主政治的认识。,内容,工人阶级被排挤在政治权力之外；失败：是英国资产阶级内部的民主，具有局限性。,,,,,
家庭联产,意义,极大调动了农民生产积极性，从根本上改变了农村经济形势和社会面貌。,,,,,
家庭联产,内容,实行包产到户、包干到户的责任制，取消人民公社，恢复乡政府等农村基层政权,,,,,
家庭联产承包责任制,内容,（1）开始于安徽、四川（2）实行包产到户、包干到户的责任制，同时取消人民公社，恢复乡政府等农村基层政权,,,,,
家庭联产承包责任制,意义,极大调动了农民生产积极性，从根本上改变了农村经济形势和社会面貌,,,,,
家庭联产时间,背景,1978,,,,,
家庭手工业,内容,汉时管理官府手工业的官署叫做工官。,,,,,
甲午战争,内容,"1894-1895马关条约①割辽东半岛、台湾及其附属岛屿、澎湖列岛给日本。赔偿日本军费白银二亿两。开放沙市、重庆、苏州、杭州为商埠。允许日本在通商口岸开设工厂。②进一步破坏了中国的领土主权，刺激了列强瓜分中国的野心，中国半殖民地半封建社会性质大大加深。
",,,,,
假如你是一个英国公民，谈谈你对欧洲走向联合的看法。,背景,可能有表示赞同的——认为需要改变英国一贯的孤立政策，顺应历史潮流，需要同欧洲其他国家加强联系，进行经济的交流与合作。也有可能表示反对的——认为要保持英国在欧洲的强大，就不能让欧洲其他国家进行联合，需要继续保持孤立政策，并与美国保持良好的合作关系。,,,,,
价格革命,意义,"封建地主因货币地租贬值而财力地位下降，资产阶级和新贵族经济实力增强。
",,,,,
简述“一国两制”伟大构想的形成及其基本内容。,内容,“一国两制”的基本内容，就是在祖国统一的背景下，国家的主体坚持社会主义制度，同时，在台湾、香港、澳门保持原有的资本主义制度和生活方式长期不变。“一国两制”最早是为解决台湾问题提出来的。1978年底，邓小平首先提出了这一构想。1979年元旦，全国人大常委会发表《告台湾同胞书》，宣布了尊重台湾现状、争取用和平方式统一祖国的方针，并建议海峡两岸实行通航、通邮、通商和探亲旅游。1981年9月，全国人大常委会委员长叶剑英在关于台湾问题的九条建议中，明确指出在祖国统一后，台湾可作为特别行政区，享有高度的自治权。20世纪80年代初，邓小平提出了“一国两制”的伟大构想。1982年12月，五届人大第五次会议通过的《中华人民共和国宪法》规定，国家在必要时得设立特别行政区。这样，“一国两制”就以根本大法的形式得到了确认。1984年，全国人大六届二次会议的《政府工作报告》阐述了“一国两制”这一伟大构想，获得大会通过。“一国两制”成为具有法律效力的国家基本政策。,,,,,
简述改革开放后中国外交政策调整的原因及其主要成就。,内容,参见“自我测评”问题的相关答案提示。,,,,,
简述改革开放以后中国外交政策作出调整的基本依据及其具体实践。,内容,改革开放以后，邓小平根据国际形势的变化，对战争与和平问题作出了科学判断，提出世界战争可以避免的新论断，强调维护世界和平是有希望的；提出和平与发展是当代世界两大主题的新论断。为了争取和平，就必须反对霸权主义和强权政治。根据邓小平关于战争与和平的科学论断，中国外交政策进行了必要的调整。中国更加坚定地奉行独立自主的外交政策，在新时期，中国独立自主的外交政策具体地表现为不结盟，即不与任何国家缔结同盟关系。,,,,,
简述改革开放以来中国社会主义民主政治建设的主要成就。,内容,第一，确立了依法治国的基本方略。1982年11月，全国人大五届五次会议全面修改了《中华人民共和国宪法》，它成为中国在历史新时期治国安邦的总章程。1997年，中共十五大正式提出了依法治国，建设社会主义法治国家的历史任务。1999年，全国人大九届二次会议通过的宪法修正案，正式将“建设社会主义法治国家”以国家根本大法的形式确定下来。第二，制定了一大批法律及与法律有关的规章，形成了一个以宪法为核心的中国特色社会主义的法律体系框架。,,,,,
简述古代经济各部门的突出成就，分析传统经济的利弊。,内容,应当注意农业作为主体经济形式的地位。关于手工业经济的成就，可以总结纺织、冶金、制瓷等方面的成就。对于古代工商业，应肯定其促进经济进步的作用，都市的兴起也是由于商业的繁盛。对于传统经济结构的历史评价，应肯定自给自足的自然经济对于农耕社会曾经有保持稳定的作用，也应指出这种经济结构阻碍了经济近代化。,,,,,
简述古代中国手工业经济和商业经济的基本特点。,内容,古代中国的手工业经济在若干行业达到了技术的高峰，然而服务于皇权的“工官”制度限制了生产的扩大和技术的传播。“匠户”没有人身自由，也影响了他们的劳动创造性。古代中国的商业经济曾经促进了经济的活跃，但是由于专制王朝长期推行“重农抑商”的政策，商贸活动受到限制。面成功的商人又往往投资于田产，使商业经营成为地主经济的附从。,,,,,
简述和平共处五项原则的形成过程及其内容。,内容,1953年12月，中国政府同印度就两国在西藏地区的关系问题进行谈判。周恩来在接见印度代表团时，首次提出了和平共处五项原则，即互相尊重领土主权、互不侵犯、互不干涉内政、平等互惠、和平共处。后来，中国政府又对和平共处五项原则在措词上进行了修改。1954年在中印两国总理联合声明中，把“平等互惠”改为“平等互利”；1955年在亚非会议上，周恩来把“互相尊重领土主权”改为“互相尊重主权和领土完整”。,,,,,
简述牛顿的主要科学成就及其影响。,意义,牛顿的主要科学成就是牛顿力学体系的建立，包括：惯性定律；加速度定律；作用力和反作用力定律；万有引力定律。影响：1、牛顿的运动三定律构成了近代力学体系的基础，成为整个近代物理学的重要支柱。2、对自然界的力学现象作出了系统的、合理的说明，从而完成了人类对自然界认识史上的第一次理论大综合。3、成为近代科学形成的标志。,,,,,
简述孙中山旧三民主义的主要内容。,内容,民族主义，包括“驱除鞑虏，恢复中华”两项内容，其基本精神是以革命暴力推翻清王朝的反动统治，争取建立民族独立的中国，完成民族革命。民权主义的主要内容是“创立民国”，即推翻君主专制制度，建立资产阶级民主共和国制度，完成政治革命。民生主义的具体内容是“平均地权”，也就是孙中山所主张的社会革命。实现平均地权的办法是“核定天下地价”。,,,,,
简述维新变法思想在近代中国社会进程中的作用。,意义,维新运动虽然失败了，但维新思想给中国社会带来的影响却是深远的。维新运动兴起后，以进化论和资产阶级民权平等学说为理论指导的新思想、新学说在全国范围内传播开了，起到了初步启蒙的作用，影响着一代、甚至几代人的思想。在这个基础上，产生了中国民族资产阶级的社会政治理论和哲学观点，使中国民族资产阶级初步具备了资产阶级理论形态。维新运动也促进了中国的新闻事业、教育事业、出版事业的兴起，成为中国资产阶级文化的起点。,,,,,
简述辛亥革命的意义,意义,①性质是近代中国第一次完全意义上的反帝反封建的资产阶级民主革命。②政治推翻了清朝的封建统治，结束了两千多年的君主专制政体，沉重打击了封建主义和帝国主义在中国的统治。③思想建立了资产阶级共和国，使人民获得了一些民主和自由的权利，提高了人民参政议政的意识，革命后民主共和观念逐渐深入人心。④是中国社会近代化进程中显著的里程碑。,,,,,
简述中国近现代社会生活变化的原因、具体表现。,内容,"中国近现代社会生活变化原因：鸦片战争后，随着西方资本主义政治、经济、文化势力斡旋中国，引起了中国社会的剧烈变动。与此相伴，中国人民大众的物质生活和社会习俗等方面，也开始了前所未有的深刻变化。中国近现代社会生活变化的表现：男女服饰的变化；餐饮；居室建筑与家具陈设的西化；社会习俗的西化。
",,,,,
简述中华人民共和国根本政治制度的形成。,内容,1949年9月，在具有临时宪法性质的《中国人民政治协商会议共同纲领》中，确定了中华人民共和国的国家性质和政权性质，规定中华人民共和国是新民主主义即人民民主主义的国家，实行工人阶级领导的、以工农联盟为基础的、团结各民主阶级和国内各民族的人民民主专政。1954年9月，在第一届全国人民代表大会第一次会议通过的《中华人民共和国宪法》中，以根本大法的形式正式确定了人民代表大会制度、中国共产党领导的多党合作和政治协商制度、民族区域自治制度为国家的重要制度。这三大制度的确立，成为中国政治建设的重要成就。,,,,,
简述资本主义世界市场形成的过程和阶段特点。,内容,新航路开辟后，世界各大洲之间的相对孤立状态被打破，通过新航路开始把世界联系起来，经济文化交流通过正常和不正常的途径得到加强；十九世纪在工业革命的影响下，资本主义列强在全球扩张和争夺，世界大部分地区被卷入资本主义世界市场，资本主义世界市场基本形成。20世纪初，伴随着资本主义的发展，世界殖民体系形成，国际分工和生产的社会化增强，各国经济的互补性增强，世界成为一个整体。,,,,,
简要说明古代“草市”出现的意义及其形式特征。,意义,特征：远离城镇；分布在交通便利的地区；是自然形成的民间集市；也受到政府商业机构的管理。意义：“草市”这种民间贸易形式是对官办贸易的有益的补充；这种自然形成的乡村集市后来演进为相对集中的商业中心，有利地推动了中国古代商品经济的发展。,,,,,
简要说明韩愈思想和宋明理学的关系。,内容,韩愈激烈地反对佛教和道教，宣称儒家的仁义是最高的道，并最早提出重视太学，最早提出了儒家的“道统”思想。韩愈的思想是宋明理学创立的先声，为理学创立打下了基础。,,,,,
简要说明纸的发明和普及的过程。,背景,从现有资料看，纸的发明和普及是在汉代。应当启发学生通过课外阅读，重视纸向世界其他地区普及的历史过程。,,,,,
简要说明中国古代政治制度变化的大致轨迹。,背景,在中国古代专制主义中央集权制度建立和发展的过程中，始终存在着两大基本矛盾：（1）中央与地方割据势力的矛盾：如西汉的七国之乱，东汉末年的军阀混战，西晋的八王之乱，唐朝的安史之乱和五代十国的割据混战等。（2）中央内部皇权与相权的矛盾：在君主专制主义中央集权条件下，权力高度集中，位于权力顶峰的皇权自然成为各方力量争夺的焦点。宗室贵戚、宦官朝臣这些处于权力中心的人，在正常情况下是维护皇权的力量，特定条件下容易转化成威胁皇权的力量，历史上多次出现的宦官专权、外戚干政、宗室内乱、宫廷政变和宰相弄权就是证明。在这些斗争中，皇权与相权的矛盾是最为突出的。故中国古代政治制度变化的大致轨迹是：中央权力加强，地方权力缩小，皇权不断加强，相权不断削弱。,,,,,
建立社会主义市场经济体制对我国社会主义现代化建设,意义,①有利于从根本上解决我国经济的深层次问题，加快我国经济现代化建设；②有利于我国与国际上通行的市场经济体制接轨；③有利于进一步解放和发展我国的生产力，促进我国的经济现代化建设；④通过建立社会主义市场经济体制，使我国从总体上达到小康水平，并朝着全面建设小康社会迈进；⑤使我国资源配置方式转变为以市场配置资源为主，使资源配置更加合理,,,,,
建设无产阶级政权的尝试,内容,"1871年3月18日凌晨，反动政府军队偷袭国民自卫军停放大炮的蒙马特尔高地时被发现，人民怒不可遏，发动起义。国民自卫军和群众很快占领了市政厅等要地，梯也尔逃到凡尔赛，3月18日革命成功，巴黎升起了红旗。
3月26日，巴黎进行公社选举。
公社废除了资产阶级反动军队，代之以国民自卫军。公社委员会是经普选产生的国家最高权力机关，下设执行、军事、公安、司法、财政、教育等十个委员会，行使政府所属各部门的权力。
巴黎公社的失败是必然的。因为在19世纪70年代，不论是生产力水平还是无产阶级的政治威信，都还未达到完成社会主义革命的程度。同时，公社缺乏统一的革命政党的领导，没有马克思主义理论的指导，更没有前人的经验可供借鉴，这些都是巴黎公社失败的重要原因。",,,,,
建设中国特色社会主义理论《解放思想，实事求是，团结一致向前看》,背景,1978.12,,,,,
建设中国特色社会主义理论《解放思想，实事求是，团结一致向前看》,意义,是开辟新时期新道路的宣言书，实际上成为中共十一届三中全会的主题报告,,,,,
建设中国特色社会主义理论《解放思想，实事求是，团结一致向前看》,内容,要解放思想，提出经济体制改革的任务。,,,,,
交通,内容,1865建成设计第一艘轮船；1872上海轮船招商局早的航运企业；19s末20s初收回铁路利权运动；2006青藏铁路；1906天津有轨电车；1924上海公共汽车；1969北京地铁；2003上海磁悬浮列车；民航20s20年代初,,,,,
交通趋势,内容,牵引动力由人力畜力向机械动力的演进,,,,,
教育的复兴,背景,文革结束后，邓小平刚复出就自告奋勇抓教育。他充分肯定新中国前17年的教育工作，在教育战线全面拨乱反正，整顿教学秩序，恢复中断十年的高考制度，组织编写新教材，倡导尊师重教。文革结束后，邓小平刚复出就自告奋勇抓教育。他充分肯定新中国前17年的教育工作，在教育战线全面拨乱反正，整顿教学秩序，恢复中断十年的高考制度，组织编写新教材，倡导尊师重教。,,,,,
教育的复兴措施,内容,20世纪80年代，邓小平提出教育要面向现代化，面向世界，面向未来的指导方针，教育改革的步伐加快。大力普及九年义务教育，制定了《义务教育法》，从法律上规定了政府、学校、家庭和社会保证适龄儿童接受义务教育的责任；对中等教育，实行普通教育与职业教育并举；高等教育也有了很大发展，增设了一批新兴边缘学科专业，建立了学位制度，改革高校招生与分配制度，扩大学校办学的自主权。,,,,,
结合“门户开放”政策提出的背景，思考列强未能把中国变为其殖民地的原因。,原因,从侵略者的角度揭示：中国人民在义和团运动中表现出的反抗外来侵略的强大民族凝聚力，是粉碎列强瓜分中国美梦的杀手锏，是列强未能把中国变为其殖民地的根本原因。,,,,,
结合本课所学知识，谈一谈你是怎样理解十月革命开辟人类历史新纪元的它对中国的新民主主义革命有何影响,意义,十月革命建立了世界上第一个无产阶级领导的社会主义国家，为把俄国改造成为社会主义强国和实现国家现代化创造了重要背景。十月革命的胜利冲破了世界帝国主义阵线，在一个大国内推翻了资产阶级的统治，建立了第一个社会主义国家，这就为国际无产阶级树立了斗争的现实榜样，开辟了无产阶级革命的新时代，同时也为殖民地、半殖民地人民的民族解放运动提供了强大的思想武器和实践指导力量。俄国十月社会主义革命的胜利对中国新民主主义革命的影响：（1）使中国的先进知识分子看到了民族解放的新希望。他们逐步从激进的民主主义者转变为具有初步共产主义思想的知识分子。李大钊高举社会主义的旗帜，颂扬十月社会主义革命。从此，中国的先进知识分子，用马克思主义为精神武器，教育和组织人民，将革命推进到一个新的时期。（2）在俄国十月社会主义革命的影响下，五四爱国运动促使新文化运动发展到宣传马克思主义的新阶段。（3）列宁领导的共产国际对中国共产党的成立给予了很大帮助。（4）俄国十月社会主义革命是暴力夺取政权，中国共产党人在大革命失败后自发地走上了武装夺取政权的道路，最终在南昌起义中打响了武装反抗国民党反动派的第一枪。,,,,,
结合材料，说一说，材料中说的“三方”是哪三方为什么说“一国两制”是一个三方都能接受的方案,内容,材料中说的“三方”是指中国、英国和香港。“一国两制”之所以是一个三方都能接受的方案，因为“一国两制”构想是坚持实事求是、一切从实际出发的成果。从中方来说，“一国两制”可以实现祖国的和平统一，这是核心问题；可以保证香港地区的稳定和繁荣，这有利于大陆地区的对外开放，有利于大陆地区引进资金、技术、人才和管理方法，有利于社会主义市场经济的发展。从香港方面来说，香港毕竟经历了英国殖民者长达150年的殖民统治，长时期一直处于资本主义制度下，而且经济发展程度很高。要使这些地区较快进入社会主义制度，尚不具备社会经济及社会政治条件。要让香港民众迅即放弃资本主义制度和生活方式也是不现实的。从英国方面来说，英国在新界99年的租期即将届满，英方必须归还中国，但英方出于许多实际情况和保留在香港的诸多利益的希冀，提出了许多要求。如何平稳过渡是中英双方都共同忧虑的问题。香港特别行政区的设立，香港地区的制度和生活方式等都保持不变，保证了英国在香港地区的利益。,,,,,
结合材料分析英国早期海外活动的特征。,内容,利用英国制成品进行正常的海外贸易。反对西班牙贸易独占权，进行海盗式抢夺。参加贩卖黑人奴隶。在北美建立殖民地。英国商人同印第安人进行不平等贸易。,,,,,
结合改革开放以来的史实，试分析为什么说这是一个“大政策”它在以后的实施中主要体现在哪些方面,内容,允许一部分地区、一部分企业和一部分农民，在遵纪守法、辛勤劳动的条件下先富裕起来，通过他们起一个带头作用、示范的作用，有助于推动当地经济的发展，引导当地工人、农民走富裕的路子，这在20世纪70年代末有着巨大的振聋发聩的意义。正如后来邓小平反复强调的，贫穷不是社会主义！这一政策在实施中主要体现在鼓励了一部分人先富起来，推动了一些地区如经济特区、沿海开放地区大胆改革，吸引外交，成为最先发展富裕起来的地区，从而成为中国改革开放的窗口和先头兵。,,,,,
结合联邦宪法的内容和当时美国的形势，分析一下联邦宪法是怎样调和中央和地方、南方和北方、大州和小州之间矛盾的,内容,1787年宪法使联邦政府的权力大大加强，但各州仍保留了一些独立性，这样既避免了《邦联条例》的极端，又避免了中央集权的弊端，既把各州团结成一个国家，又发挥了各地的积极性和创造性，很好地调整了中央和地方的关系；宪法规定，参议院的议员名额每州不论大小，均为两名；众议院议员名额则按各州人口比例分配，这样使大小州都享有了权利，避免了大州控制小州，协调了它们之间的矛盾；宪法还将黑人奴隶按五分之三来折合计算南方人口的总数，这就在一定程度上保护了南方大种植园主的利益，调和了南北方之间的矛盾。,,,,,
结合时事，你认为非洲经济一体化过程中的不利因素有哪些,原因,经济基础薄弱资金、技术和人才短缺，市场体系不完善，投资和储蓄率低，外债负担沉重；地区冲突不断；大国干涉等等。,,,,,
结合史实，说明第二次科学与技术革命与英国工业革命相比的主要特点。,内容,以电力、电动机和内燃机为标志；以重工业部门为主体；代表性的产业是以科学技术为本的新兴产业部门，如电气、电机制造、钢铁、汽车、化工等；几乎同时在欧美诸国展开，见效快；迎来“电气时代”和“钢铁时代”。是在近代科学理论的直接指导下兴起和发展起来的，掌握了专门知识的科学家、工程师来充当主要角色。在欧美同时展开，工业化浪潮从以前西欧个别国家扩大至北美、东欧和日本。确立了公司制、垄断制，将自由资本主义推进到一个新阶段——垄断资本主义阶段。,,,,,
